title,slug,chapter_type,abbreviation,parent_organization,organization_family,war_period,war_period_name,state,state_slug,county,county_slug,geo_tag,address_line1,city,postal_code,latitude,longitude,has_location,phone,email,website,facebook,instagram,twitter,youtube,linkedin,post_number,meeting_time,meeting_place,source_url
FRA Branch 119 - Ouachita Valley,fra-branch-119-la,local,Branch 119,fra,FRA,world-war-1,World War I,LA,louisiana,Ouachita Parish,ouachita-parish,la_22073,PO Box 4628,Monroe,71211,32.6,-92.02,true,,,,,,,,,119,"1400, 3rd Thurs.","AmLeg Post 13, 401 Forsythe Avenue, Monroe, LA",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=119
FRA Branch 162 - Nola,fra-branch-162-la,local,Branch 162,fra,FRA,world-war-1,World War I,LA,louisiana,Jefferson Parish,jefferson-parish,la_22051,703 Kepler St,Gretna,70053,29.9221518,-90.0504449,true,,,https://www.facebook.com/fleet162/,,,,,,162,"1800, 3rd Fri.","Branch Home, 703 Kepler St., Gretna, LA",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=162
FRA Branch 222 - Ozone,fra-branch-222-la,local,Branch 222,fra,FRA,world-war-1,World War I,LA,louisiana,St. Tammany Parish,st-tammany-parish,la_22103,2336 Sunset Blvd,Slidell,70461,30.2035211,-89.7681855,true,,,https://www.facebook.com/FRABranch222/,,,,,,222,"1900, 3rd Wed.","AmLeg Post 374, 2233 Carey St. Slidell, LA 70458",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=222
FRA Branch 371 - Baton Rouge,fra-branch-371-la,local,Branch 371,fra,FRA,world-war-1,World War I,LA,louisiana,East Baton Rouge Parish,east-baton-rouge-parish,la_22033,6116 Morgan Rd,Greenwell Springs,70739,30.5107583,-90.9818241,true,,,,,,,,,371,"1300, 4th Thurs. (3rd Thurs. Nov./Dec.)","AmLeg Post #38, 151 S. Wooddale Blvd., Baton Rouge, LA",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=371
FRA Branch 3 - U.S.S. Constitution,fra-branch-3-ma,local,Branch 3,fra,FRA,world-war-1,World War I,MA,massachusetts,Middlesex County,middlesex-county,ma_25017,58 Harvard St,Medford,02155,42.405685,-71.104704,true,,,,,,,,,3,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=003
FRA Branch 31 - North Shore,fra-branch-31-ma,local,Branch 31,fra,FRA,world-war-1,World War I,MA,massachusetts,Essex County,essex-county,ma_25009,9 Basford Ct,Peabody,01960,42.5267102,-70.9316517,true,,,https://www.facebook.com/Fleet-Reserve-Association-Branch-31-1005647192824736/,,,,,,31,"1900, 3rd Wed.","VFW Post #1011 and via Zoom, 20 Stevens St., Peabody, MA",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=031
FRA Branch 66 - South Shore,fra-branch-66-ma,local,Branch 66,fra,FRA,world-war-1,World War I,MA,massachusetts,Middlesex County,middlesex-county,ma_25017,58 Harvard St,Medford,02155,42.405685,-71.104704,true,,,,,,,,,66,"1300, 2nd Fri.","VFW Post, 22 Church St., Rockland, MA",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=066
FRA Branch 72 - Fall River,fra-branch-72-ma,local,Branch 72,fra,FRA,world-war-1,World War I,MA,massachusetts,Bristol County,bristol-county,ma_25005,128 McGowan St,Fall River,02723,41.6827751,-71.1274407,true,,,,,,,,,72,"1500, 2nd Tue.","128 MaGowen St., Fall River, MA",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=072
FRA Branch 75 - George T Higgins,fra-branch-75-ma,local,Branch 75,fra,FRA,world-war-1,World War I,MA,massachusetts,Worcester County,worcester-county,ma_25027,170 Podunk Rd,Sturbridge,01566,42.1548583,-72.0418572,true,,,,,,,,,75,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=075
FRA Branch 246 - Pioneer Valley,fra-branch-246-ma,local,Branch 246,fra,FRA,world-war-1,World War I,MA,massachusetts,Hampden County,hampden-county,ma_25013,9 Darwin Dr,Westfield,01085,42.1313298,-72.8041643,true,,,,,,,,,246,"1300, 3rd Sat.","Holyoke Soldiers Home, 110 Cherry St., Holyoke, MA",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=246
"FRA Branch 353 - Ma, Hyannis",fra-branch-353-ma,local,Branch 353,fra,FRA,world-war-1,World War I,MA,massachusetts,Barnstable County,barnstable-county,ma_25001,,,,41.6524911,-70.2881124,true,,,,,,,,,353,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=353
"FRA Branch 4 - Oxon Hill, Md",fra-branch-4-md,local,Branch 4,fra,FRA,world-war-1,World War I,MD,maryland,Prince George's County,prince-georges-county,md_24033,10925 Riverview,Road Fort Washington,20744,38.7395882,-77.0187892,true,,,,,,,,,4,1400 3rd Sun.,"MRS Philippines Home for Senior Citiizens, 6482 Bock Rd., Oxon Hill, MD",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=004
FRA Branch 6 - Baltimore,fra-branch-6-md,local,Branch 6,fra,FRA,world-war-1,World War I,MD,maryland,Baltimore City,baltimore-city,md_24510,2806 Belmont Ave,Baltimore,21216,39.3037686,-76.6643471,true,,,,,,,,,6,"1930, 1st Fri.","War Memorial Bldg., 101 N. Gay Street, Baltimore, MD",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=006
FRA Branch 24 - Annapolis,fra-branch-24-md,local,Branch 24,fra,FRA,world-war-1,World War I,MD,maryland,Anne Arundel County,anne-arundel-county,md_24003,100 Compromise St,Annapolis,21401,38.9763846,-76.4858853,true,,,http://www.fra24.org/,,,,,,24,"1830, 2nd Tues.","Fleet Res. Club, 100 Compromise St., Annapolis, MD",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=024
FRA Branch 67 - Capital City,fra-branch-67-md,local,Branch 67,fra,FRA,world-war-1,World War I,MD,maryland,Prince George's County,prince-georges-county,md_24033,5006,Suitland,20746,38.846775,-76.9211173,true,,,https://www.facebook.com/Fleet-Reserve-Club-67-173499726029152/,,,,,,67,"1800, 2nd Wed.","Branch Home, 5006 Suitland Rd., Suitland, MD",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=067
FRA Branch 93 - Tom Vallee,fra-branch-93-md,local,Branch 93,fra,FRA,world-war-1,World War I,MD,maryland,St. Mary's County,st-marys-county,md_24037,PO Box 93,Patuxent River,20670,38.2890465,-76.4215988,true,,,,,,,,,93,"1700, 2nd Mon.","Branch Home 93, 21707 Three Notch Rd., Lexington Park, MD",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=093
FRA Branch 142 - Antietam,fra-branch-142-md,local,Branch 142,fra,FRA,world-war-1,World War I,MD,maryland,Frederick County,frederick-county,md_24021,PO Box 1653,Frederick,21702,39.4839351,-77.4472495,true,,,,,,,,,142,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=142
FRA Branch 182 - Triangle,fra-branch-182-md,local,Branch 182,fra,FRA,world-war-1,World War I,MD,maryland,Montgomery County,montgomery-county,md_24031,3829 Cullingworth Rd.,Burtonsville,20866,39.1029428,-76.9298578,true,,,http://www.fra182.org/,,,,,,182,"1900, 3rd Wed.","AmLeg Post #86, 2013 Veirs Mill Rd., Rockville, MD",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=182
FRA Branch 212 - Meade,fra-branch-212-md,local,Branch 212,fra,FRA,world-war-1,World War I,MD,maryland,Anne Arundel County,anne-arundel-county,md_24003,7530 E.,Plateau Drive Hanover,21076,39.1573612,-76.7103544,true,,,,,,,,,212,"1000, 2nd Sat.","VFW Post #160, 2597 Dorsey Rd., Glen Burnie, MD",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=212
FRA Branch 347 - Salisbury,fra-branch-347-md,local,Branch 347,fra,FRA,world-war-1,World War I,MD,maryland,Wicomico County,wicomico-county,md_24045,408 Viewfield Dr,Salisbury,21804,38.3616331,-75.5614339,true,,,,,,,,,347,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=347
FRA Branch 369 - Tri State Mountaineers,fra-branch-369-md,local,Branch 369,fra,FRA,world-war-1,World War I,MD,maryland,Allegany County,allegany-county,md_24001,PO Box 124,Lonaconing,21539,39.5659228,-78.980304,true,,,,,,,,,369,"1900, 3rd Tues.","6 Commander Ct., Cumberland, MD",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=369
FRA Branch 7 - Portsmouth Nh,fra-branch-7-me,local,Branch 7,fra,FRA,world-war-1,World War I,ME,maine,York County,york-county,me_23031,4 Sea Oaks Ln,Kittery Point,03905,43.0841623,-70.6686253,true,,,,,,,,,7,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=007
FRA Branch 156 - Pinetree,fra-branch-156-me,local,Branch 156,fra,FRA,world-war-1,World War I,ME,maine,Cumberland County,cumberland-county,me_23005,25,Palmer Street Brunswick,04011,43.90227,-69.9944763,true,,,,,,,,,156,"1300, 2nd Wed.","Read Rich Conference Room, 62 Pegasus St., Brunswick, ME",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=156
FRA Branch 344 - Casco Bay,fra-branch-344-me,local,Branch 344,fra,FRA,world-war-1,World War I,ME,maine,Cumberland County,cumberland-county,me_23005,551 Sawyer St,South Portland,04106,43.63269,-70.2396517,true,,,,,,,,,344,"1300, 3rd Thurs., Sep-Nov/Mar-June","Griffin Club, 69 Ocean St., South Portland, ME",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=344
FRA Branch 27 - Detroit,fra-branch-27-mi,local,Branch 27,fra,FRA,world-war-1,World War I,MI,michigan,Macomb County,macomb-county,mi_26099,45185 Fox Ln W Apt 101,Shelby Twp,48317,42.6280636,-83.0581684,true,,,,,,,,,27,"1400, 4th Sun.","USCG Base, 110 Mt. Elliott Avenue, Detroit, MI",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=027
FRA Branch 138 - Upper Peninsula,fra-branch-138-mi,local,Branch 138,fra,FRA,world-war-1,World War I,MI,michigan,Houghton County,houghton-county,mi_26061,54499 Cemetery Rd,Calumet,49913,47.2047921,-88.4045369,true,,,,,,,,,138,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=138
FRA Branch 298 - Wolverine,fra-branch-298-mi,local,Branch 298,fra,FRA,world-war-1,World War I,MI,michigan,Ingham County,ingham-county,mi_26065,3414 Ridgefield Rd,Lansing,48906,42.7566009,-84.5966734,true,,,,,,,,,298,"1800, 4th Thur.","NCO Club, Grand Valley Armory, 1200 - 44th St., S.W., Wyoming, MI",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=298
FRA Branch 358 - Paul Bunyan,fra-branch-358-mi,local,Branch 358,fra,FRA,world-war-1,World War I,MI,michigan,Iosco County,iosco-county,mi_26069,293 Oates Rd,Tawas City,48763,44.270884,-83.572206,true,,,,,,,,,358,"1430, 3rd Sat.","VFW Post 5678, 1213 S. US-23, Tawas City, MI 48764",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=358
"FRA Branch 373 - Mi, Muskegon",fra-branch-373-mi,local,Branch 373,fra,FRA,world-war-1,World War I,MI,michigan,Muskegon County,muskegon-county,mi_26121,,,,43.2341813,-86.2483921,true,,,,,,,,,373,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=373
FRA Branch 136 - Viking,fra-branch-136-mn,local,Branch 136,fra,FRA,world-war-1,World War I,MN,minnesota,Hennepin County,hennepin-county,mn_27053,5820 Oliver Ave,S Minneapolis,55419,44.8970952,-93.307712,true,,,,,,,,,136,"1000, 2nd Thur.","VFW Post 494, 5222 Bass Lake Rd., Crystal, MN",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=136
FRA Branch 273 - Rough Rider,fra-branch-273-mn,local,Branch 273,fra,FRA,world-war-1,World War I,MN,minnesota,Clay County,clay-county,mn_27027,1516 4th St,S Moorhead,56560,46.8587319,-96.7733685,true,,,https://www.facebook.com/FRABranch273/,,,,,,273,"1700, 2nd Sat.","Country Inn and Suites, 3316 S. 13th Ave., Conf. Room, Fargo, ND",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=273
FRA Branch 349 - Twin Ports,fra-branch-349-mn,local,Branch 349,fra,FRA,world-war-1,World War I,MN,minnesota,Carlton County,carlton-county,mn_27017,PO Box 235,Wrenshall,55797,46.6166577,-92.3853613,true,,,,,,,,,349,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=349
FRA Branch 32 - Lake Of The Ozarks,fra-branch-32-mo,local,Branch 32,fra,FRA,world-war-1,World War I,MO,missouri,Morgan County,morgan-county,mo_29141,PO Box 0444,Gravois Mills,65037,38.3083614,-92.8254697,true,,,https://www.frabr32.org,,,,,,32,1800 2nd Thur.,"15133 N. Hwy 5, Sunrise Beach, MO 65079",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=032
FRA Branch 161 - Mo Kan,fra-branch-161-mo,local,Branch 161,fra,FRA,world-war-1,World War I,MO,missouri,Clinton County,clinton-county,mo_29049,9170,Alpha Rdg Trimble,64492,39.4930973,-94.5871196,true,,,http://www.fra161.org/,,,,,,161,"1900, 1st Wed.","DAV Chapter 2, 14605 E. US 40 Hwy, Kansas City, MO",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=161
FRA Branch 225 - Poplar Bluff,fra-branch-225-mo,local,Branch 225,fra,FRA,world-war-1,World War I,MO,missouri,Butler County,butler-county,mo_29023,1048 County Road 605,Poplar Bluff,63901,36.7263771,-90.3819743,true,,,,,,,,,225,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=225
FRA Branch 267 - Greater St Louis,fra-branch-267-mo,local,Branch 267,fra,FRA,world-war-1,World War I,MO,missouri,St. Louis County,st-louis-county,mo_29189,PO Box 8594,Saint Louis,63126,38.552678,-90.3795438,true,,,,,,,,,267,"1400, 1st Sat.","VFW Post 2866, 66 VFW Lane, St. Charles, MO",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=267
FRA Branch 315 - Akom,fra-branch-315-mo,local,Branch 315,fra,FRA,world-war-1,World War I,MO,missouri,Jasper County,jasper-county,mo_29097,1714 Sophia St,Carthage,64836,37.1595622,-94.322696,true,,,,,,,,,315,"1400, 3rd Thurs.","Golden Corral, 2415 S Range Line Rd, Joplin, MO",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=315
FRA Branch 316 - Ozark Empire,fra-branch-316-mo,local,Branch 316,fra,FRA,world-war-1,World War I,MO,missouri,Greene County,greene-county,mo_29077,4028 S Kentwood Ave,Springfield,65804,37.1403107,-93.2642748,true,,,http://frabr316.org/,,,,,,316,"1800, 4th Thur.","AmLeg Post #639, 2660 S. Scenic Ave., Springfield, MO",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=316
FRA Branch 364 - Heart Of The Ozarks,fra-branch-364-mo,local,Branch 364,fra,FRA,world-war-1,World War I,MO,missouri,Texas County,texas-county,mo_29215,PO Box 74,Houston,65483,37.3261588,-91.955988,true,,,,,,,,,364,"1430, 4th Sun.","AmLeg Post #41, 1515 S. Sam Houston Blvd., Houston, MO",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=364
FRA Branch 379 - Midland Empire,fra-branch-379-mo,local,Branch 379,fra,FRA,world-war-1,World War I,MO,missouri,Buchanan County,buchanan-county,mo_29021,2128 S 11th St,Saint Joseph,64503,39.7470446,-94.8469189,true,,,,,,,,,379,"1900, 2nd Tues.","AmLeg Post 6760, 306 Cherokee Street, St. Joseph, MO",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=379
FRA Branch 380 - Central Missouri,fra-branch-380-mo,local,Branch 380,fra,FRA,world-war-1,World War I,MO,missouri,Boone County,boone-county,mo_29019,PO Box 7553,Columbia,65205,38.9659893,-92.374934,true,,,,,,,,,380,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=380
FRA Branch 264 - Meridian,fra-branch-264-ms,local,Branch 264,fra,FRA,world-war-1,World War I,MS,mississippi,Lauderdale County,lauderdale-county,ms_28075,8874 Highway 39,N Meridian,39305,32.489137,-88.6781624,true,,,https://www.facebook.com/thefleethomeport/,,,,,,264,"1400, Last Sun.","FRA Branch 264 Home, 8874 Highway 39, Meridian, MS",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=264
FRA Branch 307 - Old Naval Home,fra-branch-307-ms,local,Branch 307,fra,FRA,world-war-1,World War I,MS,mississippi,Harrison County,harrison-county,ms_28047,2175 Collins Blvd,Gulfport,39507,30.3881308,-89.0242784,true,,,,,,,,,307,"1400, 2nd Thur.","AFRH-G THEATER, 1800 Beach Dr., #386, Gulfport, MS",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=307
FRA Branch 311 - Magnolia State,fra-branch-311-ms,local,Branch 311,fra,FRA,world-war-1,World War I,MS,mississippi,Harrison County,harrison-county,ms_28047,220 Clower Ave,Long Beach,39560,30.3687954,-89.169335,true,,,,,,,,,311,,"Due to our circumstances, mtgs are cancelled; via phone conv. btwn Secy./Pres.",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=311
"FRA Branch 209 - Mt, Billings",fra-branch-209-mt,local,Branch 209,fra,FRA,world-war-1,World War I,MT,montana,Yellowstone County,yellowstone-county,mt_30111,1241 Claim Jumper Ln,Billings,59105,45.8209497,-108.489454,true,,,,,,,,,209,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=209
FRA Branch 52 - Durham-Raleigh,fra-branch-52-nc,local,Branch 52,fra,FRA,world-war-1,World War I,NC,north-carolina,Person County,person-county,nc_37145,101 Cyber Ct,Timberlake,27583,36.3250198,-78.9575312,true,,,,,,,,,52,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=052
"FRA Branch 116 - Nc, Hickory",fra-branch-116-nc,local,Branch 116,fra,FRA,world-war-1,World War I,NC,north-carolina,Catawba County,catawba-county,nc_37035,,,,35.7344538,-81.3444573,true,,,,,,,,,116,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=116
FRA Branch 123 - Morganton,fra-branch-123-nc,local,Branch 123,fra,FRA,world-war-1,World War I,NC,north-carolina,Burke County,burke-county,nc_37023,6365 St. John Church Ave.,Connellys Springs,28612,35.6397095,-81.5203007,true,,,https://www.facebook.com/groups/2526445690984049,,,,,,123,"1900, 3rd Tues.","Timberwoods Family Restaurant, 1501 Bethel Rd, Morganton, NC",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=123
FRA Branch 141 - Havelock-Cherry Point,fra-branch-141-nc,local,Branch 141,fra,FRA,world-war-1,World War I,NC,north-carolina,Craven County,craven-county,nc_37049,508 E Main St,Havelock,28532,34.8697884,-76.9014145,true,,,http://www.frabranch141.com/,,,,,,141,"1900, 2nd Thurs.","508 E. Main St., Havelock, NC",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=141
FRA Branch 204 - Tar River,fra-branch-204-nc,local,Branch 204,fra,FRA,world-war-1,World War I,NC,north-carolina,Nash County,nash-county,nc_37127,224 Foxhall Dr,Rocky Mount,27804,35.9965955,-77.8109305,true,,,,,,,,,204,"1900, 3rd Tues.",Contact President (919) 734-8600,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=204
FRA Branch 208 - Camp Lejeune,fra-branch-208-nc,local,Branch 208,fra,FRA,world-war-1,World War I,NC,north-carolina,Onslow County,onslow-county,nc_37133,PO Box 1079,Jacksonville,28541,34.7493743,-77.4217422,true,,,http://fra208.com/,,,,,,208,"1830, 2nd Tues.","DAV Chapter #16, 300 Sherwood Rd., Jacksonville, NC",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=208
FRA Branch 217 - Piedmont Triad,fra-branch-217-nc,local,Branch 217,fra,FRA,world-war-1,World War I,NC,north-carolina,Forsyth County,forsyth-county,nc_37067,PO Box 69,Lewisville,27023,36.0869844,-80.4437781,true,,,,,,,,,217,"1900, 3rd Tues.","AmLeg Post 55, 111 Miller St, Winston-Salem, NC",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=217
FRA Branch 228 - Charlotte,fra-branch-228-nc,local,Branch 228,fra,FRA,world-war-1,World War I,NC,north-carolina,Mecklenburg County,mecklenburg-county,nc_37119,7311 Pawtuckett Rd,Charlotte,28214,35.2649748,-80.9550163,true,,,,,,,,,228,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=228
FRA Branch 259 - Cape Fear Region,fra-branch-259-nc,local,Branch 259,fra,FRA,world-war-1,World War I,NC,north-carolina,Hoke County,hoke-county,nc_37093,1300 Myra Rd,Raeford,28376,34.9691023,-79.0627209,true,,,,,,,,,259,"1200, 4th Tues.","RMA Retired Military Assn., 120 Elisabeth Rd., Fayetteville, NC",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=259
FRA Branch 293 - Elizabeth City,fra-branch-293-nc,local,Branch 293,fra,FRA,world-war-1,World War I,NC,north-carolina,Pasquotank County,pasquotank-county,nc_37139,PO Box 1753,Elizabeth City,27906,36.3,-76.22,true,,,https://m.facebook.com/FRA-Branch-293-1931865113800448/,,,,,,293,"1900, 1st Wed.","CPOA, 514 Cardwell St, Elizabeth City, NC 27909",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=293
FRA Branch 299 - Del Herrmann Branch 299,fra-branch-299-nc,local,Branch 299,fra,FRA,world-war-1,World War I,NC,north-carolina,New Hanover County,new-hanover-county,nc_37129,1639 Flounder Ln,Wilmington,28409,34.116133,-77.8776473,true,,,,,,,,,299,"0930, 3rd Sat.","Katy's Restaurant, 1054 College Rd., Wilmington, NC",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=299
FRA Branch 301 - Eastern North Carolina,fra-branch-301-nc,local,Branch 301,fra,FRA,world-war-1,World War I,NC,north-carolina,Lenoir County,lenoir-county,nc_37107,5977 Creek Rd,Grifton,28530,35.3859006,-77.4628651,true,,,,,,,,,301,0800 2nd Sat. / 0900 2nd Mon,"Dees Rest, Goldsboro, NC / Hucklburger Greenville, NC Contact Jerry Leatherwood 252-933-2790",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=301
FRA Branch 361 - Asheville,fra-branch-361-nc,local,Branch 361,fra,FRA,world-war-1,World War I,NC,north-carolina,Haywood County,haywood-county,nc_37087,245 Panoramic Loop,Maggie Valley,28751,35.5155631,-83.1035388,true,,,,,,,,,361,"1430, 3rd Sat.","Fire & Rescue Station, 49 E. Fanning Bridge Rd., Fletcher, NC",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=361
FRA Branch 145 - Lincoln,fra-branch-145-ne,local,Branch 145,fra,FRA,world-war-1,World War I,NE,nebraska,Lancaster County,lancaster-county,ne_31109,1544 S 58th St,Lincoln,68506,40.7966718,-96.6406781,true,,,,,,,,,145,"1600, 3rd Thurs.","VFW Post #3606, 3340 West ""A"" Street, N.E., Lincoln, NE",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=145
FRA Branch 276 - Omaha Council Bluffs,fra-branch-276-ne,local,Branch 276,fra,FRA,world-war-1,World War I,NE,nebraska,Douglas County,douglas-county,ne_31055,6330 N 142nd Ave,Omaha,68164,41.3164597,-96.1365613,true,,,,,,,,,276,"Peter Vuchetich 619-987-9313Meeting time & date: 1800, 1st Thur.","DAV Post 2, 4525 F Street, Omaha, NE Contact: Peter Vuchetich 619-987-9313",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=276
"FRA Branch 16 - Nh, Manchester",fra-branch-16-nh,local,Branch 16,fra,FRA,world-war-1,World War I,NH,new-hampshire,Hillsborough County,hillsborough-county,nh_33011,,,,42.9956397,-71.4547891,true,,,,,,,,,16,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=016
FRA Branch 338 - Granite State,fra-branch-338-nh,local,Branch 338,fra,FRA,world-war-1,World War I,NH,new-hampshire,Rockingham County,rockingham-county,nh_33015,66 N Shore Rd,Derry,03038,42.903755,-71.2862666,true,,,,,,,,,338,"1900, 3rd Mon.","VFW Post 5791, 15 Bockes Road, Hudson, NH",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=338
FRA Branch 13 - Atlantic City,fra-branch-13-nj,local,Branch 13,fra,FRA,world-war-1,World War I,NJ,new-jersey,Atlantic County,atlantic-county,nj_34001,208 Ridgewood Dr,Northfield,08225,39.3620191,-74.5612537,true,,,,,,,,,13,"0900, 3rd Sat.","Shore Dinner Northfield, NJ",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=013
FRA Branch 57 - South Jersey,fra-branch-57-nj,local,Branch 57,fra,FRA,world-war-1,World War I,NJ,new-jersey,Camden County,camden-county,nj_34007,442 Windsor Dr,Bellmawr,08031,39.8659208,-75.0993381,true,,,,,,,,,57,"1300, 3rd Wed.","Marine Corps League, 344 Harvey Ave., Wenonah, NJ",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=057
"FRA Branch 78 - Nj,Jersey City",fra-branch-78-nj,local,Branch 78,fra,FRA,world-war-1,World War I,NJ,new-jersey,Hudson County,hudson-county,nj_34017,15 Parkside Ln,Bayonne,07002,40.6623938,-74.1276627,true,,,,,,,,,78,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=078
FRA Branch 124 - Lakehurst,fra-branch-124-nj,local,Branch 124,fra,FRA,world-war-1,World War I,NJ,new-jersey,Ocean County,ocean-county,nj_34029,204 Union Ave,Lakehurst,08733,40.0119194,-74.3141791,true,,,,,,,,,124,"1800, 1st Tues.","Branch Home, 204 Union Ave., Lakehurst, NJ",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=124
FRA Branch 232 - Cape May,fra-branch-232-nj,local,Branch 232,fra,FRA,world-war-1,World War I,NJ,new-jersey,Cape May County,cape-may-county,nj_34009,215 Apple Blossom Dr,Cape May,08204,38.984767,-74.9345732,true,,,,,,,,,232,"1500, 3rd Thurs.","USCG CPO Club, 1 Munro Ave., Cape May, NJ",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=232
FRA Branch 308 - Colts Neck,fra-branch-308-nj,local,Branch 308,fra,FRA,world-war-1,World War I,NJ,new-jersey,Monmouth County,monmouth-county,nj_34025,319 Edgemoor Rd,Belford,07718,40.4114205,-74.0815449,true,,,,,,,,,308,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=308
FRA Branch 200 - Uss New Mexico,fra-branch-200-nm,local,Branch 200,fra,FRA,world-war-1,World War I,NM,new-mexico,Bernalillo County,bernalillo-county,nm_35001,PO Box 81005,Albuquerque,87198,35.0843859,-106.650422,true,,,,,,,,,200,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=200
FRA Branch 90 - Fabulous Vegas Branch 90,fra-branch-90-nv,local,Branch 90,fra,FRA,world-war-1,World War I,NV,nevada,Clark County,clark-county,nv_32003,7052 Solana Ridge Drive,North Las Vegas,89084,36.2890101,-115.1368691,true,,,,,,,,,90,"1400, 3rd Sun.","Leatherneck Club, 4360 W. Spring Mountain Rd., Las Vegas, NV",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=090
