title,slug,chapter_type,abbreviation,parent_organization,organization_family,war_period,war_period_name,state,state_slug,county,county_slug,geo_tag,address_line1,city,postal_code,latitude,longitude,has_location,phone,email,website,facebook,instagram,twitter,youtube,linkedin,post_number,meeting_time,meeting_place
DAV Chapter 5 - Regan Mc Lean #5,dav-chapter-5-nd,local,Chapter 5,dav,DAV,world-war-1,World War I,ND,north-dakota,Ramsey County,ramsey-county,nd_38071,502 4th St NE,Devils Lake,58301,,,false,701-351-5133,,http://www.davmembersportal.org/chapters/ND/05,,,,,,5,"3rd Monday, 7:00 PM","502 4th St NE, Devils Lake, ND 58301"
DAV Chapter 9 - Williston #9,dav-chapter-9-nd,local,Chapter 9,dav,DAV,world-war-1,World War I,ND,north-dakota,Williams County,williams-county,nd_38105,302 E Broadway,Williston,58801,48.1634928,-103.6218103,true,701-580-2817,,http://www.davmembersportal.org/chapters/ND/09,,,,,,9,"3rd Thursday, 7:00 PM","302 E Broadway, Williston, ND 58801"
DAV Chapter 24 - Clarence Tom Lemley #24,dav-chapter-24-nd,local,Chapter 24,dav,DAV,world-war-1,World War I,ND,north-dakota,Barnes County,barnes-county,nd_38003,345 12th Ave NE,Valley City,58072,46.92320110000001,-98.00242449999999,true,701-845-1615,,http://www.davmembersportal.org/chapters/ND/24,,,,,,24,"2nd Wednesday, 7:00 PM","345 12th Ave NE, Valley City, ND 58072"
DAV Chapter 31 - Jamestown #31,dav-chapter-31-nd,local,Chapter 31,dav,DAV,world-war-1,World War I,ND,north-dakota,Stutsman County,stutsman-county,nd_38093,116 B 1st St,Jamestown,58401,,,false,701-952-7938,,http://www.davmembersportal.org/chapters/ND/31,,,,,,31,"1st Tuesday, 7:00 PM","116 B 1st St, Jamestown, ND 58401"
DAV Chapter 2 - General Mac Arthur #2,dav-chapter-2-ne,local,Chapter 2,dav,DAV,world-war-1,World War I,NE,nebraska,Douglas County,douglas-county,ne_31055,4515 F St,Omaha,68117,41.2190887,-95.98157250000001,true,402-731-4088,,http://www.davmembersportal.org/chapters/NE/02,,,,,,2,"1st Tuesday, 6:00 PM","4515 F St, Omaha, NE 68117"
DAV Chapter 3 - Orlo E Eglehoff #3,dav-chapter-3-ne,local,Chapter 3,dav,DAV,world-war-1,World War I,NE,nebraska,Mcpherson County,mcpherson-county,ne_31117,2020 E 4th St,North Platte,69101,41.1328707,-100.7390084,true,308-520-3870,,http://www.davmembersportal.org/chapters/NE/03,,,,,,3,"2nd Thursday, 7:30 PM","2020 E 4th St, North Platte, NE 69101"
DAV Chapter 7 - Robt Flansburg #7,dav-chapter-7-ne,local,Chapter 7,dav,DAV,world-war-1,World War I,NE,nebraska,Lancaster County,lancaster-county,ne_31109,3901 N 70th St,Lincoln,68501,40.8520712,-96.6251862,true,402-464-4475,,http://www.davmembersportal.org/chapters/NE/07,,,,,,7,"1st Monday, 7:00 pm","3901 N 70th St, Lincoln, NE 68501"
DAV Chapter 8 - Michael L Wemhoff #8,dav-chapter-8-ne,local,Chapter 8,dav,DAV,world-war-1,World War I,NE,nebraska,Wayne County,wayne-county,ne_31179,316 Braasch Ave,Norfolk,68701,,,false,402-358-3514,,http://www.davmembersportal.org/chapters/NE/08,,,,,,8,"2nd Tuesday, 10:00 AM","316 Braasch Ave, Norfolk, NE 68701"
DAV Chapter 9 - Hastings #9,dav-chapter-9-ne,local,Chapter 9,dav,DAV,world-war-1,World War I,NE,nebraska,Hall County,hall-county,ne_31079,302 S Elm Ave,Hastings,68901,40.4309923,-98.10564760000001,true,402-463-9216,,http://www.davmembersportal.org/chapters/NE/09,,,,,,9,"3rd Tuesday, 7:00 PM","302 S Elm Ave, Hastings, NE 68901"
DAV Chapter 10 - Scottsbluff #10,dav-chapter-10-ne,local,Chapter 10,dav,DAV,world-war-1,World War I,NE,nebraska,Scotts Bluff County,scotts-bluff-county,ne_31157,1425 9th St,Gering,69341,,,false,308-635-1711,,http://www.davmembersportal.org/chapters/NE/10,,,,,,10,"3rd Thursday, 7:00 PM","1425 9th St, Gering, NE 69341"
DAV Chapter 11 - Grand Island #11,dav-chapter-11-ne,local,Chapter 11,dav,DAV,world-war-1,World War I,NE,nebraska,Mcpherson County,mcpherson-county,ne_31117,1914 W Capital Ave,Grand Island,69101,40.9465764,-98.36158139999999,true,308-380-4732,,http://www.davmembersportal.org/chapters/NE/11,,,,,,11,"3rd Wednesday, 7:00 PM","1914 W Capital Ave, Grand Island, NE 69101"
DAV Chapter 14 - Midway #14,dav-chapter-14-ne,local,Chapter 14,dav,DAV,world-war-1,World War I,NE,nebraska,Phelps County,phelps-county,ne_31137,520 W 48th St,Kearney,68845,,,false,308-293-3636,,http://www.davmembersportal.org/chapters/NE/14,,,,,,14,"5th Tuesday, 7:00 PM","520 W 48th St, Kearney, NE 68845"
DAV Chapter 18 - Joseph C H Bales #18,dav-chapter-18-ne,local,Chapter 18,dav,DAV,world-war-1,World War I,NE,nebraska,Washington County,washington-county,ne_31177,137 North D Street,Fremont,68025,,,false,402-727-5959,,http://www.davmembersportal.org/chapters/NE/18,,,,,,18,"2nd Wednesday, 7:30 PM","137 North D Street, Fremont, NE 68025"
DAV Chapter 20 - Bobby E Nickels #20,dav-chapter-20-ne,local,Chapter 20,dav,DAV,world-war-1,World War I,NE,nebraska,Polk County,polk-county,ne_31143,2720 23rd St,Columbus,68601,41.4399112,-97.3611576,true,402-563-2279,,http://www.davmembersportal.org/chapters/NE/20,,,,,,20,"3rd Wednesday, 7:30 PM","2720 23rd St, Columbus, NE 68601"
DAV Chapter 21 - Pan Handle #21,dav-chapter-21-ne,local,Chapter 21,dav,DAV,world-war-1,World War I,NE,nebraska,Sheridan County,sheridan-county,ne_31161,404 S Elm St,Gordon,69343,,,false,308-282-1781,,http://www.davmembersportal.org/chapters/NE/21,,,,,,21,"3rd Monday, 7:00 PM","404 S Elm St, Gordon, NE 69343"
DAV Chapter 28 - Wayne Co #28,dav-chapter-28-ne,local,Chapter 28,dav,DAV,world-war-1,World War I,NE,nebraska,Wayne County,wayne-county,ne_31179,220 Main St,Wayne,68787,,,false,402-375-9944,,http://www.davmembersportal.org/chapters/NE/28,,,,,,28,"2nd Monday, 7:30 PM","220 Main St, Wayne, NE 68787"
DAV Chapter 34 - Keith County #34,dav-chapter-34-ne,local,Chapter 34,dav,DAV,world-war-1,World War I,NE,nebraska,Perkins County,perkins-county,ne_31135,114 E 1st St,Ogallala,69153,,,false,308-289-0740,,http://www.davmembersportal.org/chapters/NE/34,,,,,,34,"2nd Tuesday, 5:30 PM","114 E 1st St, Ogallala, NE 69153"
DAV Chapter 40 - Sidney #40,dav-chapter-40-ne,local,Chapter 40,dav,DAV,world-war-1,World War I,NE,nebraska,Cheyenne County,cheyenne-county,ne_31033,1109 10th Ave,Sidney,69162,,,false,308-254-4151,,http://www.davmembersportal.org/chapters/NE/40,,,,,,40,"3rd Wednesday, 8:00 PM","1109 10th Ave, Sidney, NE 69162"
DAV Chapter 41 - Custer #41,dav-chapter-41-ne,local,Chapter 41,dav,DAV,world-war-1,World War I,NE,nebraska,Custer County,custer-county,ne_31041,416 S 1st St,Broken Bow,68822,,,false,308-996-4470,,http://www.davmembersportal.org/chapters/NE/41,,,,,,41,"4th Tuesday, 7:30 PM","416 S 1st St, Broken Bow, NE 68822"
DAV Chapter 47 - William V Brooks #47,dav-chapter-47-ne,local,Chapter 47,dav,DAV,world-war-1,World War I,NE,nebraska,Sarpy County,sarpy-county,ne_31153,2108 Harvell Circle,Bellevue,68005,41.1509864,-95.917183,true,402-557-7822,,http://www.davmembersportal.org/chapters/NE/47,,,,,,47,"4th Saturday, 8:30 AM","2108 Harvell Circle, Bellevue, NE 68005"
DAV Chapter 5 - Bellamy #5,dav-chapter-5-nh,local,Chapter 5,dav,DAV,world-war-1,World War I,NH,new-hampshire,Strafford County,strafford-county,nh_33017,156 Back River Rd,Dover,03820,43.1593483,-70.87433639999999,true,603-834-3216,,http://www.davmembersportal.org/chapters/NH/05,,,,,,5,"3rd Monday, 5:00 PM","156 Back River Rd, Dover, NH 03820"
DAV Chapter 7 - Gate City #7,dav-chapter-7-nh,local,Chapter 7,dav,DAV,world-war-1,World War I,NH,new-hampshire,Hillsborough County,hillsborough-county,nh_33011,11 Court St,Nashua,03061,,,false,603-886-3322,,http://www.davmembersportal.org/chapters/NH/07,,,,,,7,"3rd Monday, 6:30 PM","11 Court St, Nashua, NH 03061"
DAV Chapter 13 - Squamscott #13,dav-chapter-13-nh,local,Chapter 13,dav,DAV,world-war-1,World War I,NH,new-hampshire,Rockingham County,rockingham-county,nh_33015,32 Court St,Exeter,03833,,,false,603-772-4604,,http://www.davmembersportal.org/chapters/NH/13,,,,,,13,"1st Tuesday, 7:00 PM","32 Court St, Exeter, NH 03833"
DAV Chapter 19 - Capital City #19,dav-chapter-19-nh,local,Chapter 19,dav,DAV,world-war-1,World War I,NH,new-hampshire,Merrimack County,merrimack-county,nh_33013,7 Perely St,Concord,03301,,,false,603-927-4231,,http://www.davmembersportal.org/chapters/NH/19,,,,,,19,"2nd Tuesday, 6:30 PM","7 Perely St, Concord, NH 03301"
DAV Chapter 21 - Keene #21,dav-chapter-21-nh,local,Chapter 21,dav,DAV,world-war-1,World War I,NH,new-hampshire,Grafton County,grafton-county,nh_33009,44 Littleton Rd,Whitefield,03598,42.9254277,-72.2803457,true,603-352-3751,,http://www.davmembersportal.org/chapters/NH/21,,,,,,21,"3rd Monday, 7:00 PM","44 Littleton Rd, Whitefield, NH 03598"
DAV Chapter 23 - Farmington #23,dav-chapter-23-nh,local,Chapter 23,dav,DAV,world-war-1,World War I,NH,new-hampshire,Strafford County,strafford-county,nh_33017,526 Main Street  Am Legion Hall,Farmington,03867,,,false,603-755-2901,,http://www.davmembersportal.org/chapters/NH/23,,,,,,23,"2nd Tuesday, 7:00 PM","526 Main Street  Am Legion Hall, Farmington, NH 03867"
DAV Chapter 1 - Argonne #1 OF NORTHERN NJ,dav-chapter-1-nj,local,Chapter 1,dav,DAV,world-war-1,World War I,NJ,new-jersey,Passaic County,passaic-county,nj_34031,135 Summer St,Passaic,07055,40.86334919999999,-74.1403511,true,973-365-2200,,http://www.davmembersportal.org/chapters/NJ/01,,,,,,1,"2nd Tuesday, 7:30 PM","135 Summer St, Passaic, NJ 07055"
DAV Chapter 2 - Clifton City #2,dav-chapter-2-nj,local,Chapter 2,dav,DAV,world-war-1,World War I,NJ,new-jersey,Passaic County,passaic-county,nj_34031,315 Hazel St,Clifton,07011,40.8886334,-74.16000760000001,true,973-772-9708,,http://www.davmembersportal.org/chapters/NJ/02,,,,,,2,"3rd Tuesday, 7:30 PM","315 Hazel St, Clifton, NJ 07011"
DAV Chapter 3 - Carnevale-Spitz #3,dav-chapter-3-nj,local,Chapter 3,dav,DAV,world-war-1,World War I,NJ,new-jersey,Essex County,essex-county,nj_34013,475-478 Irvington Ave 2nd Fl,Newark,07106,40.8095956,-74.2127378,true,973-830-7932,,http://www.davmembersportal.org/chapters/NJ/03,,,,,,3,"4th Saturday, 12:00 PM","475-478 Irvington Ave 2nd Fl, Newark, NJ 07106"
DAV Chapter 4 - E J Newton Mem #4,dav-chapter-4-nj,local,Chapter 4,dav,DAV,world-war-1,World War I,NJ,new-jersey,Camden County,camden-county,nj_34007,129 Veterans Lane,Haddonfield,08033,,,false,856-429-5414,,http://www.davmembersportal.org/chapters/NJ/04,,,,,,4,"2nd Tuesday, 7:00 PM","129 Veterans Lane, Haddonfield, NJ 08033"
DAV Chapter 5 - Cpt P J E Hogan #5,dav-chapter-5-nj,local,Chapter 5,dav,DAV,world-war-1,World War I,NJ,new-jersey,Hudson County,hudson-county,nj_34017,14 West 7th St,Bayonne,07002,,,false,201-339-2750,,http://www.davmembersportal.org/chapters/NJ/05,,,,,,5,"1st Wednesday, 7:00 PM","14 West 7th St, Bayonne, NJ 07002"
DAV Chapter 10 - Atlantic City #10,dav-chapter-10-nj,local,Chapter 10,dav,DAV,world-war-1,World War I,NJ,new-jersey,Atlantic County,atlantic-county,nj_34001,560 New Jersey Ave,Abescon,08205,,,false,609-415-0505,,http://www.davmembersportal.org/chapters/NJ/10,,,,,,10,"1st Friday, 6:00 PM","560 New Jersey Ave, Abescon, NJ 08205"
DAV Chapter 14 - Cpl Geo H Keller #14,dav-chapter-14-nj,local,Chapter 14,dav,DAV,world-war-1,World War I,NJ,new-jersey,Union County,union-county,nj_34039,78 Westfield Ave,Clark,07066,,,false,908-272-7086,,http://www.davmembersportal.org/chapters/NJ/14,,,,,,14,"3rd Thursday, 3:00 PM","78 Westfield Ave, Clark, NJ 07066"
DAV Chapter 15 - Bergen Co #15,dav-chapter-15-nj,local,Chapter 15,dav,DAV,world-war-1,World War I,NJ,new-jersey,Bergen County,bergen-county,nj_34003,100 Main St,Little Ferry,07643,,,false,201-421-5922,,http://www.davmembersportal.org/chapters/NJ/15,,,,,,15,"3rd Tuesday, 7:30 PM","100 Main St, Little Ferry, NJ 07643"
DAV Chapter 16 - Somerville #16,dav-chapter-16-nj,local,Chapter 16,dav,DAV,world-war-1,World War I,NJ,new-jersey,Somerset County,somerset-county,nj_34035,232 East Union Ave Rt 28,Somerville,08876,,,false,908-756-6220,,http://www.davmembersportal.org/chapters/NJ/16,,,,,,16,"4th Saturday, 10:00 AM","232 East Union Ave Rt 28, Somerville, NJ 08876"
DAV Chapter 20 - Lamberson-Sunchuk #20,dav-chapter-20-nj,local,Chapter 20,dav,DAV,world-war-1,World War I,NJ,new-jersey,Ocean County,ocean-county,nj_34029,1810 Lanes Mill Rd,Brick,08724,40.0975766,-74.1389749,true,732-206-0544,,http://www.davmembersportal.org/chapters/NJ/20,,,,,,20,"3rd Tuesday, 7:00 PM","1810 Lanes Mill Rd, Brick, NJ 08724"
DAV Chapter 22 - Belleville Nutley #22,dav-chapter-22-nj,local,Chapter 22,dav,DAV,world-war-1,World War I,NJ,new-jersey,Essex County,essex-county,nj_34013,612 Mill Street,Belleville,07109,,,false,973-751-4700,,http://www.davmembersportal.org/chapters/NJ/22,,,,,,22,"1st Monday, 11:00 AM","612 Mill Street, Belleville, NJ 07109"
DAV Chapter 24 - Ocean Co Mem #24,dav-chapter-24-nj,local,Chapter 24,dav,DAV,world-war-1,World War I,NJ,new-jersey,Ocean County,ocean-county,nj_34029,2025 Church Rd,Toms River,08753,,,false,732-779-6484,,http://www.davmembersportal.org/chapters/NJ/24,,,,,,24,"2nd Wednesday, 7:00 pm","2025 Church Rd, Toms River, NJ 08753"
DAV Chapter 27 - Burlington Co #27,dav-chapter-27-nj,local,Chapter 27,dav,DAV,world-war-1,World War I,NJ,new-jersey,Burlington County,burlington-county,nj_34005,39 Fort Dix Rd,Pemberton,08068,39.97088249999999,-74.5838426,true,609-387-9666,,http://www.davmembersportal.org/chapters/NJ/27,,,,,,27,"3rd Thursday, 7:00 PM","39 Fort Dix Rd, Pemberton, NJ 08068"
DAV Chapter 29 - Ft Monmouth Mem #29,dav-chapter-29-nj,local,Chapter 29,dav,DAV,world-war-1,World War I,NJ,new-jersey,Monmouth County,monmouth-county,nj_34025,283 Sherrill Ave,Oceanport,07757,40.3201696,-74.0726075,true,732-673-2691,,http://www.davmembersportal.org/chapters/NJ/29,,,,,,29,"1st Wednesday, 10:00 AM","283 Sherrill Ave, Oceanport, NJ 07757"
DAV Chapter 32 - Northern Valley #32,dav-chapter-32-nj,local,Chapter 32,dav,DAV,world-war-1,World War I,NJ,new-jersey,Bergen County,bergen-county,nj_34003,8 Veterans Plaza,Bergenfield,07621,,,false,201-384-0001,,http://www.davmembersportal.org/chapters/NJ/32,,,,,,32,"2nd Saturday, 7:00 PM","8 Veterans Plaza, Bergenfield, NJ 07621"
DAV Chapter 41 - Jos A Mc Nerney #41,dav-chapter-41-nj,local,Chapter 41,dav,DAV,world-war-1,World War I,NJ,new-jersey,Mercer County,mercer-county,nj_34021,1490 S Olden Ave,Hamilton,08619,,,false,609-584-8059,,http://www.davmembersportal.org/chapters/NJ/41,,,,,,41,"2nd Wednesday, 7:30 PM","1490 S Olden Ave, Hamilton, NJ 08619"
DAV Chapter 42 - Willingboro #42,dav-chapter-42-nj,local,Chapter 42,dav,DAV,world-war-1,World War I,NJ,new-jersey,Burlington County,burlington-county,nj_34005,429 JFK Way Kennedy Center,Willingboro,08046,40.054076,-74.8911806,true,609-496-3303,,http://www.davmembersportal.org/chapters/NJ/42,,,,,,42,"3rd Thursday, 1:00 PM","429 JFK Way Kennedy Center, Willingboro, NJ 08046"
DAV Chapter 44 - Cape May County #44,dav-chapter-44-nj,local,Chapter 44,dav,DAV,world-war-1,World War I,NJ,new-jersey,Cape May County,cape-may-county,nj_34009,1010 Bayshore Rd,Del Haven,08251,39.0298788,-74.93359579999999,true,609-886-8383,,http://www.davmembersportal.org/chapters/NJ/44,,,,,,44,"4th Sunday, 12:00 PM","1010 Bayshore Rd, Del Haven, NJ 08251"
DAV Chapter 48 - Warren County #48,dav-chapter-48-nj,local,Chapter 48,dav,DAV,world-war-1,World War I,NJ,new-jersey,Warren County,warren-county,nj_34041,323 Greenwich Street,Stewartsville,08886,,,false,908-454-4316,,http://www.davmembersportal.org/chapters/NJ/48,,,,,,48,"1st Monday, 7:30 PM","323 Greenwich Street, Stewartsville, NJ 08886"
DAV Chapter 52 - Edison #52,dav-chapter-52-nj,local,Chapter 52,dav,DAV,world-war-1,World War I,NJ,new-jersey,Middlesex County,middlesex-county,nj_34023,53 National Rd,Edison,08817,,,false,732-672-0934,,http://www.davmembersportal.org/chapters/NJ/52,,,,,,52,"3rd Thursday, 1:00 PM","53 National Rd, Edison, NJ 08817"
DAV Chapter 56 - Woodbridge Mem #56,dav-chapter-56-nj,local,Chapter 56,dav,DAV,world-war-1,World War I,NJ,new-jersey,Middlesex County,middlesex-county,nj_34023,393 Pearl St,Woodbridge,07095,40.55512299999999,-74.2784293,true,732-283-1728,,http://www.davmembersportal.org/chapters/NJ/56,,,,,,56,"2nd Tuesday, 8:00 PM","393 Pearl St, Woodbridge, NJ 07095"
DAV Chapter 58 - Vineland Mem #58,dav-chapter-58-nj,local,Chapter 58,dav,DAV,world-war-1,World War I,NJ,new-jersey,Gloucester County,gloucester-county,nj_34015,524 NW Blvd,Vineland,08360,39.4862777,-75.0254256,true,856-696-0335,,http://www.davmembersportal.org/chapters/NJ/58,,,,,,58,"4th Thursday, 8:00 PM","524 NW Blvd, Vineland, NJ 08360"
DAV Chapter 63 - Morris Co #63,dav-chapter-63-nj,local,Chapter 63,dav,DAV,world-war-1,World War I,NJ,new-jersey,Morris County,morris-county,nj_34027,72 Eyeland Ave,Succasunna,07876,,,false,973-927-6647,,http://www.davmembersportal.org/chapters/NJ/63,,,,,,63,"3rd Tuesday, 7:00 PM","72 Eyeland Ave, Succasunna, NJ 07876"
DAV Chapter 64 - Gloucester County #64,dav-chapter-64-nj,local,Chapter 64,dav,DAV,world-war-1,World War I,NJ,new-jersey,Gloucester County,gloucester-county,nj_34015,344 Harvey Ave,Wenonah,08090,,,false,856-848-7842,,http://www.davmembersportal.org/chapters/NJ/64,,,,,,64,"4th Monday, 7:00 PM","344 Harvey Ave, Wenonah, NJ 08090"
DAV Chapter 66 - Hammonton #66,dav-chapter-66-nj,local,Chapter 66,dav,DAV,world-war-1,World War I,NJ,new-jersey,Camden County,camden-county,nj_34007,446 S Egg Harbor Rd,Hammonton,08037,39.6703597,-74.8648267,true,609-567-0806,,http://www.davmembersportal.org/chapters/NJ/66,,,,,,66,"1st Wednesday, 7:30 PM","446 S Egg Harbor Rd, Hammonton, NJ 08037"
DAV Chapter 70 - Steven Villo Mem #70,dav-chapter-70-nj,local,Chapter 70,dav,DAV,world-war-1,World War I,NJ,new-jersey,Atlantic County,atlantic-county,nj_34001,601 Dolphin Ave,Northfield,08201,39.3823545,-74.5477348,true,609-432-3255,,http://www.davmembersportal.org/chapters/NJ/70,,,,,,70,"2nd Wednesday, 7:00 PM","601 Dolphin Ave, Northfield, NJ 08201"
DAV Chapter 74 - Freehold #74,dav-chapter-74-nj,local,Chapter 74,dav,DAV,world-war-1,World War I,NJ,new-jersey,Ocean County,ocean-county,nj_34029,73 East Main St,Freehold,07728,,,false,732-239-0368,,http://www.davmembersportal.org/chapters/NJ/74,,,,,,74,"5th Tuesday, 7:00 PM","73 East Main St, Freehold, NJ 07728"
DAV Chapter 77 - Marvin Wachsman #77,dav-chapter-77-nj,local,Chapter 77,dav,DAV,world-war-1,World War I,NJ,new-jersey,Ocean County,ocean-county,nj_34029,54 Magnolia Dr,Jackson,08527,,,false,732-364-6843,,http://www.davmembersportal.org/chapters/NJ/77,,,,,,77,"2nd Tuesday, 7:00 PM","54 Magnolia Dr, Jackson, NJ 08527"
DAV Chapter 78 - Emile Benoist #78,dav-chapter-78-nj,local,Chapter 78,dav,DAV,world-war-1,World War I,NJ,new-jersey,Sussex County,sussex-county,nj_34037,45 Main St,Netcong,07857,40.8872975,-74.69813660000001,true,973-347-9858,,http://www.davmembersportal.org/chapters/NJ/78,,,,,,78,"1st Saturday, 10:00 AM","45 Main St, Netcong, NJ 07857"
DAV Chapter 80 - Glassboro #80,dav-chapter-80-nj,local,Chapter 80,dav,DAV,world-war-1,World War I,NJ,new-jersey,Gloucester County,gloucester-county,nj_34015,275 Wilmer St,Glassboro,08028,,,false,856-728-3263,,http://www.davmembersportal.org/chapters/NJ/80,,,,,,80,"3rd Tuesday, 7:30 PM","275 Wilmer St, Glassboro, NJ 08028"
DAV Chapter 81 - John E Brion #81,dav-chapter-81-nj,local,Chapter 81,dav,DAV,world-war-1,World War I,NJ,new-jersey,Ocean County,ocean-county,nj_34029,900 Beach Blvd,Forked River,08731,,,false,609-242-1445,,http://www.davmembersportal.org/chapters/NJ/81,,,,,,81,"2nd Wednesday, 4:00 PM","900 Beach Blvd, Forked River, NJ 08731"
DAV Chapter 1 - Grant Ft Bayard #1,dav-chapter-1-nm,local,Chapter 1,dav,DAV,world-war-1,World War I,NM,new-mexico,Grant County,grant-county,nm_35017,409 W Collage St,Silver City,88061,,,false,575-313-5594,,http://www.davmembersportal.org/chapters/NM/01,,,,,,1,"2nd Wednesday, 10:00 AM","409 W Collage St, Silver City, NM 88061"
DAV Chapter 3 - R C Lopez-Ernie Pyle-Cuttng #3,dav-chapter-3-nm,local,Chapter 3,dav,DAV,world-war-1,World War I,NM,new-mexico,Bernalillo County,bernalillo-county,nm_35001,2511 Utah St NE,Albuquerque,87110,,,false,505-304-8856,,http://www.davmembersportal.org/chapters/NM/03,,,,,,3,"4th Saturday, 1:00 PM","2511 Utah St NE, Albuquerque, NM 87110"
DAV Chapter 5 - Rio Rancho #5,dav-chapter-5-nm,local,Chapter 5,dav,DAV,world-war-1,World War I,NM,new-mexico,Sandoval County,sandoval-county,nm_35043,76 Unser Blvd Ne,Rio Rancho,87124,35.24086,-106.7028261,true,505-280-2938,,http://www.davmembersportal.org/chapters/NM/05,,,,,,5,"1st Saturday, 10:00 AM","76 Unser Blvd Ne, Rio Rancho, NM 87124"
DAV Chapter 6 - Curry County #6,dav-chapter-6-nm,local,Chapter 6,dav,DAV,world-war-1,World War I,NM,new-mexico,Roosevelt County,roosevelt-county,nm_35041,220 W 4th St,Clovis,88101,,,false,575-762-5335,,http://www.davmembersportal.org/chapters/NM/06,,,,,,6,"2nd Wednesday, 7:00 PM","220 W 4th St, Clovis, NM 88101"
DAV Chapter 8 - Raton #8,dav-chapter-8-nm,local,Chapter 8,dav,DAV,world-war-1,World War I,NM,new-mexico,Colfax County,colfax-county,nm_35007,128 S 2nd St,Raton,87740,,,false,575-445-3619,,http://www.davmembersportal.org/chapters/NM/08,,,,,,8,"3rd Thursday, 7:00 PM","128 S 2nd St, Raton, NM 87740"
DAV Chapter 9 - San Juan #9,dav-chapter-9-nm,local,Chapter 9,dav,DAV,world-war-1,World War I,NM,new-mexico,San Juan County,san-juan-county,nm_35045,#12 CR 3073 Aztec NM 87410,Aztec,87410,,,false,505-327-4031,,http://www.davmembersportal.org/chapters/NM/09,,,,,,9,"1st Tuesday, 4:00 PM","#12 CR 3073 Aztec NM 87410, Aztec, NM 87410"
DAV Chapter 10 - Mesilla Valley #10,dav-chapter-10-nm,local,Chapter 10,dav,DAV,world-war-1,World War I,NM,new-mexico,Dona Ana County,dona-ana-county,nm_35013,1185 E Madrid Ave,Las Cruces,88001,,,false,575-496-4529,,http://www.davmembersportal.org/chapters/NM/10,,,,,,10,"1st Thursday, 6:00 PM","1185 E Madrid Ave, Las Cruces, NM 88001"
DAV Chapter 12 - Taos #12,dav-chapter-12-nm,local,Chapter 12,dav,DAV,world-war-1,World War I,NM,new-mexico,Taos County,taos-county,nm_35055,118 Cruz Alta Rd,Taos,87571,36.4072134,-105.5733788,true,505-206-0398,,http://www.davmembersportal.org/chapters/NM/12,,,,,,12,"3rd Friday, 3:30 PM","118 Cruz Alta Rd, Taos, NM 87571"
DAV Chapter 14 - Alamogordo #14,dav-chapter-14-nm,local,Chapter 14,dav,DAV,world-war-1,World War I,NM,new-mexico,Otero County,otero-county,nm_35035,2200 N. Florida Avenue,15 Alamogordo,88310,,,false,575-446-1515,,http://www.davmembersportal.org/chapters/NM/14,,,,,,14,"1st Tuesday, 11:00 AM","2200 N. Florida Avenue, 15 Alamogordo, NM 88310"
DAV Chapter 15 - Luchetti-Castner #15,dav-chapter-15-nm,local,Chapter 15,dav,DAV,world-war-1,World War I,NM,new-mexico,Santa Fe County,santa-fe-county,nm_35049,30 Thunder Trail,Santa Fe,87505,,,false,505-982-3488,,http://www.davmembersportal.org/chapters/NM/15,,,,,,15,"1st Tuesday, 7:00 PM","30 Thunder Trail, Santa Fe, NM 87505"
DAV Chapter 21 - Bataan #21,dav-chapter-21-nm,local,Chapter 21,dav,DAV,world-war-1,World War I,NM,new-mexico,Mckinley County,mckinley-county,nm_35031,3940 E Historic Hwy 66,Gallup,87301,,,false,505-863-2796,,http://www.davmembersportal.org/chapters/NM/21,,,,,,21,"3rd Thursday, 7:00 PM","3940 E Historic Hwy 66, Gallup, NM 87301"
DAV Chapter 25 - Chaparral #25,dav-chapter-25-nm,local,Chapter 25,dav,DAV,world-war-1,World War I,NM,new-mexico,Otero County,otero-county,nm_35035,332 East Lisa,Chaparral,88081,,,false,915-760-6526,,http://www.davmembersportal.org/chapters/NM/25,,,,,,25,"3rd Thursday, 7:00 PM","332 East Lisa, Chaparral, NM 88081"
DAV Chapter 33 - John W Smokov #33,dav-chapter-33-nm,local,Chapter 33,dav,DAV,world-war-1,World War I,NM,new-mexico,Bernalillo County,bernalillo-county,nm_35001,2511 Utah NE,Albuquerque,87110,35.1094908,-106.5555226,true,505-933-1969,,http://www.davmembersportal.org/chapters/NM/33,,,,,,33,"3rd Thursday, 7:00 PM","2511 Utah NE, Albuquerque, NM 87110"
DAV Chapter 38 - Ch Of 3 Crosses #38,dav-chapter-38-nm,local,Chapter 38,dav,DAV,world-war-1,World War I,NM,new-mexico,Dona Ana County,dona-ana-county,nm_35013,1661 Hickory Loop,Las Cruces,88005,32.2773988,-106.7965477,true,575-571-1699,,http://www.davmembersportal.org/chapters/NM/38,,,,,,38,"3rd Saturday, 9:00 AM","1661 Hickory Loop, Las Cruces, NM 88005"
DAV Chapter 1 - Reno #1,dav-chapter-1-nv,local,Chapter 1,dav,DAV,world-war-1,World War I,NV,nevada,Washoe County,washoe-county,nv_32031,730 4th St,Sparks,89431,39.55370850000001,-119.7534097,true,775-772-8747,,http://www.davmembersportal.org/chapters/NV/01,,,,,,1,"3rd Monday, 6:00 PM","730 4th St, Sparks, NV 89431"
