title,slug,chapter_type,abbreviation,parent_organization,organization_family,war_period,war_period_name,state,state_slug,county,county_slug,geo_tag,address_line1,city,postal_code,latitude,longitude,has_location,phone,email,website,facebook,instagram,twitter,youtube,linkedin,post_number,hall_rental,club_room,voice_of_democracy,boy_scouts,funeral_honors,patriots_pen,vfw_riders_group
VFW Post 6032,vfw-post-6032-mi,local,Post 6032,vfw,VFW,spanish-american-war,Spanish-American War,MI,michigan,Wayne County,wayne-county,mi_26163,18275 Allen Rd,Melvindale,48122,42.2831873,-83.1866599,true,(313) 382-6735,,,,,,,,6032,,false,false,false,false,false,false
ADAMS & ROCKEY VFW POST 6056,vfw-post-6056-mi,local,Post 6056,vfw,VFW,spanish-american-war,Spanish-American War,MI,michigan,Jackson County,jackson-county,mi_26075,230 Mechanic St,Springport,49284,42.3798214,-84.6987075,true,(517) 857-3595,,,,,,,,6056,,false,true,false,true,true,false
VFW Post 6132,vfw-post-6132-mi,local,Post 6132,vfw,VFW,spanish-american-war,Spanish-American War,MI,michigan,Ingham County,ingham-county,mi_26065,3104 W Saint Joseph St,Lansing,48917,42.7267336,-84.5921903,true,(517) 372-4434,,,,,,,,6132,,true,false,false,true,false,false
VFW Post 6248,vfw-post-6248-mi,local,Post 6248,vfw,VFW,spanish-american-war,Spanish-American War,MI,michigan,Van Buren County,van-buren-county,mi_26159,560 N Phelps St,Decatur,49045,42.114339,-85.979541,true,(616) 423-7454,,,,,,,,6248,,true,true,false,true,true,false
VFW Post 6754,vfw-post-6754-mi,local,Post 6754,vfw,VFW,spanish-american-war,Spanish-American War,MI,michigan,Alpena County,alpena-county,mi_26007,1365 E Spruce Rd,Spruce,48762,44.8440496,-83.4793811,true,(517) 471-5337,,,,,,,,6754,,false,false,false,false,false,false
VFW Post 6782,vfw-post-6782-mi,local,Post 6782,vfw,VFW,spanish-american-war,Spanish-American War,MI,michigan,Macomb County,macomb-county,mi_26099,17645 E 9 Mile Rd,Eastpointe,48021,42.46515,-82.939463,true,(810) 777-4040,,vfw6782.org,,,,,,6782,No,true,false,false,false,false,false
HARPER WOODS VFW POST 6784,vfw-post-6784-mi,local,Post 6784,vfw,VFW,spanish-american-war,Spanish-American War,MI,michigan,Wayne County,wayne-county,mi_26163,20440 Harper Ave,Harper Woods,48225,42.4423531,-82.9191359,true,(313) 884-5830,,,,,,,,6784,,false,false,false,false,false,false
VFW POST 6803,vfw-post-6803-mi,local,Post 6803,vfw,VFW,spanish-american-war,Spanish-American War,MI,michigan,Van Buren County,van-buren-county,mi_26159,8777 Red Arrow Hwy,Watervliet,49098,42.1883479,-86.2525098,true,(616) 463-8387,,,,,,,,6803,,false,false,false,false,false,false
VFW Post 6985,vfw-post-6985-mi,local,Post 6985,vfw,VFW,spanish-american-war,Spanish-American War,MI,michigan,Antrim County,antrim-county,mi_26009,1805 N M 88,Central Lake,49622,45.0650047,-85.2641135,true,(231) 544-6455,,,,,,,,6985,,false,false,false,false,false,false
VFW Post 7729,vfw-post-7729-mi,local,Post 7729,vfw,VFW,spanish-american-war,Spanish-American War,MI,michigan,Muskegon County,muskegon-county,mi_26121,6285 E Apple Ave,Muskegon,49442,43.2349147,-86.0900371,true,(231) 788-2998,,vfw7729.org,,,,,,7729,No,true,true,false,true,true,false
VFW POST 7806,vfw-post-7806-mi,local,Post 7806,vfw,VFW,spanish-american-war,Spanish-American War,MI,michigan,Wexford County,wexford-county,mi_26165,603 State St,Manton,49663,44.4057054,-85.4004116,true,(231) 824-3742,,,,,,,,7806,,false,false,false,false,false,false
VFW Post 7911,vfw-post-7911-mi,local,Post 7911,vfw,VFW,spanish-american-war,Spanish-American War,MI,michigan,Allegan County,allegan-county,mi_26005,2373 53Rd St,Fennville,49408,42.7431384,-86.1057938,true,(616) 561-5009,,,,,,,,7911,,true,false,false,false,false,false
VFW POST 8135,vfw-post-8135-mi,local,Post 8135,vfw,VFW,spanish-american-war,Spanish-American War,MI,michigan,Alcona County,alcona-county,mi_26001,2120 Trask Lake Rd,Barton City,48705,44.6833047,-83.6124008,true,(517) 736-6168,,,,,,,,8135,,false,false,false,false,false,false
VFW Post 8236,vfw-post-8236-mi,local,Post 8236,vfw,VFW,spanish-american-war,Spanish-American War,MI,michigan,Genesee County,genesee-county,mi_26049,4008 W Coldwater Rd,Flint,48504,43.0190005,-83.6889868,true,(810) 787-5520,,,,,,,,8236,,false,false,false,false,false,false
VFW POST 8275,vfw-post-8275-mi,local,Post 8275,vfw,VFW,spanish-american-war,Spanish-American War,MI,michigan,Arenac County,arenac-county,mi_26011,3651 E Huron Rd,Au Gres,48703,44.0482447,-83.6876088,true,(517) 876-8717,,,,,,,,8275,,false,false,false,false,false,false
VFW Post 8465,vfw-post-8465-mi,local,Post 8465,vfw,VFW,spanish-american-war,Spanish-American War,MI,michigan,St. Clair County,st-clair-county,mi_26147,3815 Knapp Ave,Port Huron,48060,42.9898529,-82.4751271,true,(810) 982-6323,,,,,,,,8465,,false,true,false,true,true,false
VFW POST 9023,vfw-post-9023-mi,local,Post 9023,vfw,VFW,spanish-american-war,Spanish-American War,MI,michigan,Chippewa County,chippewa-county,mi_26033,8968 W M 28,Brimley,49715,46.3157263,-84.2426116,true,(906) 248-5450,,,,,,,,9023,,false,false,false,false,false,false
VFW POST 9031,vfw-post-9031-mi,local,Post 9031,vfw,VFW,spanish-american-war,Spanish-American War,MI,michigan,Macomb County,macomb-county,mi_26099,32100 Ryan Rd,Warren,48092,42.5286416,-83.0681406,true,(810) 264-3490,,,,,,,,9031,,false,false,false,false,false,false
VFW Post 9222,vfw-post-9222-mi,local,Post 9222,vfw,VFW,spanish-american-war,Spanish-American War,MI,michigan,Oakland County,oakland-county,mi_26125,3025 Coolidge Hwy,Berkley,48072,42.5001004,-83.183914,true,(248) 548-3340,,,,,,,,9222,,true,false,false,true,false,false
VFW Post 9283,vfw-post-9283-mi,local,Post 9283,vfw,VFW,spanish-american-war,Spanish-American War,MI,michigan,Wayne County,wayne-county,mi_26163,16200 Toledo Dix Rd,Southgate,48195,42.1910005,-83.2211858,true,(734) 282-0605,,vfw9283.org,,,,,,9283,Yes,true,true,false,true,true,false
VFW Post 9388,vfw-post-9388-mi,local,Post 9388,vfw,VFW,spanish-american-war,Spanish-American War,MI,michigan,Muskegon County,muskegon-county,mi_26121,82 E Broadway Ave,Muskegon,49444,43.201114,-86.2437837,true,(231) 739-4134,,,,,,,,9388,,false,false,false,false,false,false
VFW Post 9411,vfw-post-9411-mi,local,Post 9411,vfw,VFW,spanish-american-war,Spanish-American War,MI,michigan,Jackson County,jackson-county,mi_26075,23672 W M 60,Homer,49245,42.1363205,-84.8609248,true,(517) 568-4800,,,,,,,,9411,,false,false,false,true,false,false
VFW POST 9489,vfw-post-9489-mi,local,Post 9489,vfw,VFW,spanish-american-war,Spanish-American War,MI,michigan,Montmorency County,montmorency-county,mi_26119,11761 Pettenger Rd,Atlanta,49709,45.0101318,-84.1426818,true,(517) 785-4576,,,,,,,,9489,,false,false,false,false,false,false
VFW Post 9809,vfw-post-9809-mi,local,Post 9809,vfw,VFW,spanish-american-war,Spanish-American War,MI,michigan,Saginaw County,saginaw-county,mi_26145,3265 Kochville Rd,Saginaw,48604,43.4941806,-83.9787406,true,(517) 792-0060,,,,,,,,9809,,false,true,false,false,true,false
VFW Post 9885,vfw-post-9885-mi,local,Post 9885,vfw,VFW,spanish-american-war,Spanish-American War,MI,michigan,Wayne County,wayne-county,mi_26163,6440 N Hix Rd,Westland,48185,42.3291773,-83.4183892,true,(734) 728-3231,,,,,,,,9885,,true,false,false,false,false,false
VFW POST 9941,vfw-post-9941-mi,local,Post 9941,vfw,VFW,spanish-american-war,Spanish-American War,MI,michigan,Hillsdale County,hillsdale-county,mi_26059,108 N Main St,Reading,49274,41.8438,-84.7479206,true,(517) 283-2749,,,,,,,,9941,,false,false,false,false,false,false
VFW Post 10704,vfw-post-10704-mi,local,Post 10704,vfw,VFW,spanish-american-war,Spanish-American War,MI,michigan,Cass County,cass-county,mi_26027,131 S Broadway St,Cassopolis,49031,41.9109722,-86.0124208,true,(616) 445-8278,,,,,,,,10704,,true,false,false,true,false,false
VFW POST NO 137,vfw-post-137-mn,local,Post 137,vfw,VFW,spanish-american-war,Spanish-American War,MN,minnesota,St. Louis County,st-louis-county,mn_27137,2024 W Superior St,Duluth,55806,46.7675668,-92.1233059,true,(218) 727-1912,,vfw137.org,,,,,,137,Yes,false,false,false,false,false,false
VFW Post 246,vfw-post-246-mn,local,Post 246,vfw,VFW,spanish-american-war,Spanish-American War,MN,minnesota,Hennepin County,hennepin-county,mn_27053,2916 Lyndale Ave S,Minneapolis,55408,44.9496569,-93.2882031,true,(612) 823-6233,,www.uptownvfw.com/,,,,,,246,No,true,false,false,false,true,false
VFW Post 295,vfw-post-295-mn,local,Post 295,vfw,VFW,spanish-american-war,Spanish-American War,MN,minnesota,Ramsey County,ramsey-county,mn_27123,111 Concord St,Saint Paul,55107,44.9296831,-93.0776761,true,(651) 455-1505,,vfw295.org,,,,,,295,No,false,false,false,false,false,false
VFW Post 428,vfw-post-428-mn,local,Post 428,vfw,VFW,spanish-american-war,Spanish-American War,MN,minnesota,Stearns County,stearns-county,mn_27145,9 18Th Ave N,Saint Cloud,56303,45.5542151,-94.1749556,true,(320) 251-9951,,vfw428.org,,,,,,428,No,true,true,false,true,true,false
VFW POST 494 CRYSTAL ROBBINSDALE,vfw-post-494-mn,local,Post 494,vfw,VFW,spanish-american-war,Spanish-American War,MN,minnesota,Hennepin County,hennepin-county,mn_27053,5222 Bass Lake Rd,Minneapolis,55429,44.8261509,-93.4688893,true,(763) 537-9914,,vfwcrystal.com,,,,,,494,No,true,true,false,true,true,false
VFW Post 742,vfw-post-742-mn,local,Post 742,vfw,VFW,spanish-american-war,Spanish-American War,MN,minnesota,Redwood County,redwood-county,mn_27127,1507 E College Dr,Marshall,56258,44.4505289,-95.7586278,true,(507) 532-2710,,,,,,,,742,,false,false,false,false,false,false
VFW Post 800,vfw-post-800-mn,local,Post 800,vfw,VFW,spanish-american-war,Spanish-American War,MN,minnesota,Redwood County,redwood-county,mn_27127,131 1St Ave S,Sleepy Eye,56085,44.2968898,-94.7227355,true,(507) 794-7391,,,,,,,,800,,false,false,false,false,false,false
VFW Post 950,vfw-post-950-mn,local,Post 950,vfw,VFW,spanish-american-war,Spanish-American War,MN,minnesota,Nicollet County,nicollet-county,mn_27103,121 S Front St,Mankato,56001,44.1672826,-94.0025664,true,(507) 387-3171,,,,,,,,950,,true,false,false,true,false,false
VFW POST 1112,vfw-post-1112-mn,local,Post 1112,vfw,VFW,spanish-american-war,Spanish-American War,MN,minnesota,Morrison County,morrison-county,mn_27097,1210 3Rd Ave Ne,Little Falls,56345,45.977786,-94.3434111,true,(320) 632-6598,,,,,,,,1112,,true,false,false,true,true,false
VFW POST 1215 CLUBROOMS,vfw-post-1215-mn,local,Post 1215,vfw,VFW,spanish-american-war,Spanish-American War,MN,minnesota,Olmsted County,olmsted-county,mn_27109,16 6Th St Sw,Rochester,55902,44.0169745,-92.4633583,true,(507) 289-6818,,vfw1215.org,,,,,,1215,Yes,true,true,false,true,true,false
VFW Post 1223,vfw-post-1223-mn,local,Post 1223,vfw,VFW,spanish-american-war,Spanish-American War,MN,minnesota,Clay County,clay-county,mn_27027,2201 1St Ave N,Moorhead,56560,46.8762257,-96.7468651,true,(218) 233-6100,,www.dilworthvfw.org,,,,,,1223,Yes,false,false,false,true,true,false
VFW Post 1562,vfw-post-1562-mn,local,Post 1562,vfw,VFW,spanish-american-war,Spanish-American War,MN,minnesota,Steele County,steele-county,mn_27147,422 1St Ave Nw,Faribault,55021,44.2950688,-93.2700568,true,(507) 334-6395,,,,,,,,1562,,false,false,false,false,false,false
VFW POST 1656,vfw-post-1656-mn,local,Post 1656,vfw,VFW,spanish-american-war,Spanish-American War,MN,minnesota,Yellow Medicine County,yellow-medicine-county,mn_27173,710 2Nd St,Madison,56256,45.010342,-96.195216,true,(320) 598-7498,,,,,,,,1656,,true,false,false,false,false,false
VFW POST 1782,vfw-post-1782-mn,local,Post 1782,vfw,VFW,spanish-american-war,Spanish-American War,MN,minnesota,Washington County,washington-county,mn_27163,4496 Lake Ave S,White Bear Lake,55110,45.0771779,-93.0162815,true,(651) 426-4944,,www.vfw1782.org,,,,,,1782,No,true,true,false,true,true,false
VFW POST 1901,vfw-post-1901-mn,local,Post 1901,vfw,VFW,spanish-american-war,Spanish-American War,MN,minnesota,Wright County,wright-county,mn_27171,211 Buffalo Ave N,Montrose,55363,45.0708565,-93.9114352,true,(763) 675-3408,,,,,,,,1901,,false,false,false,true,false,false
VFW POST 1910,vfw-post-1910-mn,local,Post 1910,vfw,VFW,spanish-american-war,Spanish-American War,MN,minnesota,Wadena County,wadena-county,mn_27159,119 3Rd Ave Ne,Staples,56479,46.3568702,-94.7992041,true,(218) 894-1356,,,,,,,,1910,,false,false,false,false,false,false
VFW POST 2735,vfw-post-2735-mn,local,Post 2735,vfw,VFW,spanish-american-war,Spanish-American War,MN,minnesota,Isanti County,isanti-county,mn_27059,410 Railroad Ave S,Isanti,55040,45.5566296,-93.1766127,true,(651) 444-9787,,vfw2735.org,,,,,,2735,No,true,true,false,false,true,false
VFW POST 2793,vfw-post-2793-mn,local,Post 2793,vfw,VFW,spanish-american-war,Spanish-American War,MN,minnesota,Pennington County,pennington-county,mn_27113,123 Horace Ave N,Thief River Falls,56701,48.1246462,-96.1784132,true,(218) 681-6764,,,,,,,,2793,,true,false,false,true,false,false
VFW POST NO 3842,vfw-post-3842-mn,local,Post 3842,vfw,VFW,spanish-american-war,Spanish-American War,MN,minnesota,Watonwan County,watonwan-county,mn_27165,34 1St St Nw,Madelia,56062,44.0517093,-94.4178363,true,(507) 642-3565,,,,,,,,3842,,false,false,false,true,false,false
VFW POST 4020 PAYPHONE,vfw-post-4020-mn,local,Post 4020,vfw,VFW,spanish-american-war,Spanish-American War,MN,minnesota,Otter Tail County,otter-tail-county,mn_27111,805 W Main St,Perham,56573,46.5989222,-95.5812859,true,(218) 346-9444,,www.vfw4020.com,,,,,,4020,No,false,true,false,true,true,false
VFW POST 4097,vfw-post-4097-mn,local,Post 4097,vfw,VFW,spanish-american-war,Spanish-American War,MN,minnesota,Renville County,renville-county,mn_27129,211 N 9Th St,Olivia,56277,44.7779343,-94.989128,true,(320) 523-5261,,,,,,,,4097,,false,true,false,true,true,false
VFW POST 4210,vfw-post-4210-mn,local,Post 4210,vfw,VFW,spanish-american-war,Spanish-American War,MN,minnesota,Washington County,washington-county,mn_27163,556 12Th St Sw,Forest Lake,55025,45.2734791,-92.999624,true,(651) 464-6827,,www.vfwpost4210.org,,,,,,4210,No,true,false,false,true,false,false
VFW Post 4847,vfw-post-4847-mn,local,Post 4847,vfw,VFW,spanish-american-war,Spanish-American War,MN,minnesota,Sherburne County,sherburne-county,mn_27141,24 5Th Ave Se,Saint Cloud,56304,45.5647124,-94.1490814,true,(320) 253-0554,,www.vfw4847.com,,,,,,4847,No,true,false,false,true,false,false
VFW POST 4955 BAR,vfw-post-4955-mn,local,Post 4955,vfw,VFW,spanish-american-war,Spanish-American War,MN,minnesota,Swift County,swift-county,mn_27151,448 S Munsterman St,Appleton,56208,45.193722,-96.020983,true,(320) 289-1208,,,,,,,,4955,,true,false,false,true,false,false
VFW POST 5247,vfw-post-5247-mn,local,Post 5247,vfw,VFW,spanish-american-war,Spanish-American War,MN,minnesota,Lac qui Parle County,lac-qui-parle-county,mn_27073,712 Oak St,Dawson,56232,44.9357714,-96.053006,true,(320) 769-4518,,,,,,,,5247,,false,false,false,false,true,false
WACONIA VFW POST 5462,vfw-post-5462-mn,local,Post 5462,vfw,VFW,spanish-american-war,Spanish-American War,MN,minnesota,Hennepin County,hennepin-county,mn_27053,125 W 1St St,Waconia,55387,44.849266,-93.7880581,true,(952) 442-4820,,www.waconiavfw.com,,,,,,5462,No,false,false,false,true,true,false
VFW POST 5555,vfw-post-5555-mn,local,Post 5555,vfw,VFW,spanish-american-war,Spanish-American War,MN,minnesota,Hennepin County,hennepin-county,mn_27053,6401 Lyndale Ave S,Richfield,55423,44.8864844,-93.2870521,true,(320) 243-1545,,www.vfwpost5555.com,,,,,,5555,Yes,true,false,false,true,false,false
VFW POST 5903 HAMEL,vfw-post-5903-mn,local,Post 5903,vfw,VFW,spanish-american-war,Spanish-American War,MN,minnesota,Hennepin County,hennepin-county,mn_27053,19020 Hamel Rd,Plymouth,55446,45.0404243,-93.5216039,true,(763) 478-2077,,vfw5903.org,,,,,,5903,Yes,false,true,false,true,false,false
VFW POST NO 6320,vfw-post-6320-mn,local,Post 6320,vfw,VFW,spanish-american-war,Spanish-American War,MN,minnesota,St. Louis County,st-louis-county,mn_27137,5103 Ramsey St,Duluth,55807,46.7390271,-92.1613934,true,(218) 628-3202,,,,,,,,6320,,false,false,false,false,false,false
VFW Post 6992,vfw-post-6992-mn,local,Post 6992,vfw,VFW,spanish-american-war,Spanish-American War,MN,minnesota,Sherburne County,sherburne-county,mn_27141,901 N Benton Dr,Sauk Rapids,56379,45.5786377,-94.1503345,true,(320) 252-3617,,vfw6992.org,,,,,,6992,Yes,true,true,false,true,true,false
ROSEVILLE VFW POST 7555,vfw-post-7555-mn,local,Post 7555,vfw,VFW,spanish-american-war,Spanish-American War,MN,minnesota,Ramsey County,ramsey-county,mn_27123,1145 Woodhill Dr,Roseville,55113,45.0230753,-93.1484638,true,(651) 483-5313,,vfw7555.org,,,,,,7555,Yes,true,true,false,true,true,false
VFW POST 8663,vfw-post-8663-mn,local,Post 8663,vfw,VFW,spanish-american-war,Spanish-American War,MN,minnesota,Roseau County,roseau-county,mn_27135,206 Main Ave S,Roseau,56751,48.845043,-95.7627376,true,(218) 463-9909,,,,,,,,8663,,false,true,false,true,true,false
VFW POST 9433,vfw-post-9433-mn,local,Post 9433,vfw,VFW,spanish-american-war,Spanish-American War,MN,minnesota,Dakota County,dakota-county,mn_27037,2625 120Th St W,Rosemount,55068,44.7755481,-93.1186105,true,(651) 423-9938,,www.rosemountvfw.org,,,,,,9433,Yes,true,true,false,true,true,false
VFW Post 9625,vfw-post-9625-mn,local,Post 9625,vfw,VFW,spanish-american-war,Spanish-American War,MN,minnesota,Anoka County,anoka-county,mn_27003,1919 Coon Rapids Blvd Nw,Coon Rapids,55433,45.1659149,-93.3271132,true,(763) 755-4760,,vfw9625.org,,,,,,9625,No,true,true,false,false,true,false
VFW Post 9713,vfw-post-9713-mn,local,Post 9713,vfw,VFW,spanish-american-war,Spanish-American War,MN,minnesota,Nicollet County,nicollet-county,mn_27103,1900 N Riverfront Dr,Mankato,56001,44.1858203,-93.9854868,true,(507) 625-6192,,,,,,,,9713,,true,false,false,true,false,false
VFW POST 479,vfw-post-479-mo,local,Post 479,vfw,VFW,spanish-american-war,Spanish-American War,MO,missouri,Adair County,adair-county,mo_29001,1512 Brook Dr,Kirksville,63501,40.1609583,-92.5712606,true,(660) 627-0676,,,,,,,,479,,false,false,false,false,false,false
VFW POST 1000,vfw-post-1000-mo,local,Post 1000,vfw,VFW,spanish-american-war,Spanish-American War,MO,missouri,Jackson County,jackson-county,mo_29095,1002 E 24 Hwy,Independence,64050,39.1013053,-94.4136876,true,(816) 836-3015,,vfw1000.org,,,,,,1000,Yes,true,false,false,true,false,false
VFW Post 1003,vfw-post-1003-mo,local,Post 1003,vfw,VFW,spanish-american-war,Spanish-American War,MO,missouri,Osage County,osage-county,mo_29151,217 E Capitol Ave,Jefferson City,65101,38.5768023,-92.1690999,true,(573) 635-2341,,,,,,,,1003,No,true,true,false,true,true,false
VFW Post 1829,vfw-post-1829-mo,local,Post 1829,vfw,VFW,spanish-american-war,Spanish-American War,MO,missouri,Jackson County,jackson-county,mo_29095,5904 Crystal Ave,Kansas City,64129,39.0177403,-94.5023868,true,(816) 921-2222,,www.facebook.com/vfw1829/,,,,,,1829,Yes,true,false,false,true,true,false
VFW POST 1894,vfw-post-1894-mo,local,Post 1894,vfw,VFW,spanish-american-war,Spanish-American War,MO,missouri,Henry County,henry-county,mo_29083,510 W Allen St,Clinton,64735,38.3634225,-93.7831753,true,(660) 885-5980,,,,,,,,1894,No,true,true,false,true,true,false
VFW POST 2173,vfw-post-2173-mo,local,Post 2173,vfw,VFW,spanish-american-war,Spanish-American War,MO,missouri,Ralls County,ralls-county,mo_29173,100 Gaslight Rd,Vandalia,63382,39.303761,-91.505037,true,(573) 594-2173,,,,,,,,2173,No,false,true,false,false,false,false
VFW Post 2176,vfw-post-2176-mo,local,Post 2176,vfw,VFW,spanish-american-war,Spanish-American War,MO,missouri,Harrison County,harrison-county,mo_29081,701 S 12Th St,Bethany,64424,40.2632222,-94.0383951,true,(660) 425-7038,,,,,,,,2176,No,false,false,false,true,false,false
VFW POST 2368 OF MALDEN,vfw-post-2368-mo,local,Post 2368,vfw,VFW,spanish-american-war,Spanish-American War,MO,missouri,Dunklin County,dunklin-county,mo_29069,122 W Main St,Malden,63863,36.5583396,-89.9664958,true,(573) 276-2690,,,,,,,,2368,,false,false,false,false,false,false
VFW Post 2508,vfw-post-2508-mo,local,Post 2508,vfw,VFW,spanish-american-war,Spanish-American War,MO,missouri,Adair County,adair-county,mo_29001,Rr 3,Kirksville,63501,40.1948848,-92.5833939,true,(660) 665-9736,,,,,,,,2508,No,true,true,false,true,true,false
VFW Post 2591,vfw-post-2591-mo,local,Post 2591,vfw,VFW,spanish-american-war,Spanish-American War,MO,missouri,Pettis County,pettis-county,mo_29159,121 S Ohio Ave,Sedalia,65301,38.7099617,-93.2275425,true,(660) 826-4543,,vfw2591.org,,,,,,2591,No,true,true,false,true,true,false
VFW POST 2593,vfw-post-2593-mo,local,Post 2593,vfw,VFW,spanish-american-war,Spanish-American War,MO,missouri,Jefferson County,jefferson-county,mo_29099,1540 Big Bill Rd,Arnold,63010,38.4368834,-90.3881189,true,(314) 296-2611,,www.facebook.com/VFWPOST2593,,,,,,2593,Yes,true,false,false,false,false,false
VFW Post 3174,vfw-post-3174-mo,local,Post 3174,vfw,VFW,spanish-american-war,Spanish-American War,MO,missouri,Stoddard County,stoddard-county,mo_29207,709 Smith Ave,Sikeston,63801,36.885697,-89.572327,true,(573) 471-7575,,vfw3174.org,,,,,,3174,No,false,true,false,false,true,false
VFW Post 3404,vfw-post-3404-mo,local,Post 3404,vfw,VFW,spanish-american-war,Spanish-American War,MO,missouri,Greene County,greene-county,mo_29077,1136 E Atlantic St,Springfield,65803,37.233189,-93.276034,true,(417) 865-6929,,www.vfwpost3404.org/,,,,,,3404,No,true,true,false,true,true,false
VFW POST 3485,vfw-post-3485-mo,local,Post 3485,vfw,VFW,spanish-american-war,Spanish-American War,MO,missouri,Ripley County,ripley-county,mo_29181,Po Box 153,Doniphan,63935,36.6225713,-90.777912,true,(573) 996-3016,,vfw3485.org,,,,,,3485,Yes,true,true,false,true,false,false
VFW POST 3772,vfw-post-3772-mo,local,Post 3772,vfw,VFW,spanish-american-war,Spanish-American War,MO,missouri,Monroe County,monroe-county,mo_29137,Rr 5,Mexico,65265,39.1697626,-91.8829484,true,(573) 581-9930,,,,,,,,3772,No,true,false,false,false,false,false
VFW POST 3838 CANTEEN,vfw-post-3838-mo,local,Post 3838,vfw,VFW,spanish-american-war,Spanish-American War,MO,missouri,Cape Girardeau County,cape-girardeau-county,mo_29031,1049 N Kingshighway St,Cape Girardeau,63701,37.3177704,-89.5285414,true,(573) 334-4438,,www.vfwpost3838.org/,,,,,,3838,No,false,false,false,false,false,false
VFW POST 3944,vfw-post-3944-mo,local,Post 3944,vfw,VFW,spanish-american-war,Spanish-American War,MO,missouri,St. Louis County,st-louis-county,mo_29189,10817 Midland Blvd,Saint Louis,63114,38.703198,-90.396974,true,(314) 427-0391,,vfw3944.org,,,,,,3944,Yes,true,true,false,true,true,false
VFW Post 3976,vfw-post-3976-mo,local,Post 3976,vfw,VFW,spanish-american-war,Spanish-American War,MO,missouri,Jackson County,jackson-county,mo_29095,12810 E Kentucky Ave,Independence,64050,39.1092196,-94.432684,true,(816) 461-2636,,,,,,,,3976,No,true,false,false,false,false,false
VFW Post 4050,vfw-post-4050-mo,local,Post 4050,vfw,VFW,spanish-american-war,Spanish-American War,MO,missouri,Clay County,clay-county,mo_29047,1419 Swift Ave,Kansas City,64116,39.1347,-94.5429,true,(816) 471-3256,,,,,,,,4050,,false,false,false,false,false,false
VFW Post 4105,vfw-post-4105-mo,local,Post 4105,vfw,VFW,spanish-american-war,Spanish-American War,MO,missouri,St. Louis County,st-louis-county,mo_29189,410 Saint Francois St,Florissant,63031,38.7942973,-90.3288507,true,(314) 831-6121,,www.vfw4105.org,,,,,,4105,Yes,true,true,false,false,true,false
VFW Post 4107,vfw-post-4107-mo,local,Post 4107,vfw,VFW,spanish-american-war,Spanish-American War,MO,missouri,Laclede County,laclede-county,mo_29105,1617 Lynn St,Lebanon,65536,37.6876033,-92.6677223,true,(417) 532-2627,,www.facebook.com/VFWPost4107Events/,,,,,,4107,Yes,true,true,false,true,true,false
VFW POST 4207,vfw-post-4207-mo,local,Post 4207,vfw,VFW,spanish-american-war,Spanish-American War,MO,missouri,Lawrence County,lawrence-county,mo_29109,Po Box 977,Monett,65708,37.0030607,-93.6418834,true,(417) 235-8394,,vfw4207.org,,,,,,4207,No,true,false,false,true,true,false
VFW POST 4238,vfw-post-4238-mo,local,Post 4238,vfw,VFW,spanish-american-war,Spanish-American War,MO,missouri,Pulaski County,pulaski-county,mo_29169,100 W Chestnut St,Dixon,65459,37.991051,-92.1021496,true,(573) 759-2496,,https://www.facebook.com/vfw4238withauxiliary/,,,,,,4238,Yes,false,true,false,false,true,false
VFW Post 4242,vfw-post-4242-mo,local,Post 4242,vfw,VFW,spanish-american-war,Spanish-American War,MO,missouri,Platte County,platte-county,mo_29165,6419 Railroad St,Raytown,64133,39.006455,-94.4632621,true,(816) 358-8843,,,,,,,,4242,,false,false,false,false,false,false
CORDER VFW POST 4288,vfw-post-4288-mo,local,Post 4288,vfw,VFW,spanish-american-war,Spanish-American War,MO,missouri,Lafayette County,lafayette-county,mo_29107,Rr 1,Corder,64021,39.0983482,-93.640771,true,(660) 394-2595,,post4288,,,,,,4288,No,false,true,false,false,true,false
VFW POST 4320,vfw-post-4320-mo,local,Post 4320,vfw,VFW,spanish-american-war,Spanish-American War,MO,missouri,St. Francois County,st-francois-county,mo_29187,125 W Main St,Fredericktown,63645,37.5598003,-90.2954486,true,(573) 783-8875,,,,,,,,4320,,false,false,false,false,false,false
VFW POST NO 4409,vfw-post-4409-mo,local,Post 4409,vfw,VFW,spanish-american-war,Spanish-American War,MO,missouri,Cass County,cass-county,mo_29037,1804 N Commercial St,Harrisonville,64701,38.6630662,-94.3627382,true,(816) 380-4284,,myvfw.org/mo/post4409,,,,,,4409,No,true,true,false,true,true,false
VFW POST 4436,vfw-post-4436-mo,local,Post 4436,vfw,VFW,spanish-american-war,Spanish-American War,MO,missouri,Montgomery County,montgomery-county,mo_29139,100 N Allen St,Montgomery City,63361,38.976264,-91.505216,true,(573) 564-3315,,,,,,,,4436,No,false,true,false,false,true,false
VETERANS OF FOREIGN WARS VFW POST 4557,vfw-post-4557-mo,local,Post 4557,vfw,VFW,spanish-american-war,Spanish-American War,MO,missouri,Linn County,linn-county,mo_29115,114 E Wood St,Brookfield,64628,39.7876413,-93.0747246,true,(660) 258-7311,,,,,,,,4557,No,false,true,false,true,true,false
VFW POST 4610,vfw-post-4610-mo,local,Post 4610,vfw,VFW,spanish-american-war,Spanish-American War,MO,missouri,Pike County,pike-county,mo_29163,109 N 1St St,Clarksville,63336,39.3712755,-90.9044707,true,(573) 242-9696,,,,,,,,4610,No,false,true,false,false,true,false
